Last Update,Confirmed,Country/Region,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered,input_file,Active
2020-02-26 15:03:05,75.0,China,0.0,2020-02-26 15:03:05,,,Inner Mongolia,38.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,37.0
2020-02-26 03:53:01,71.0,China,0.0,2020-02-26 03:53:01,,,Ningxia,65.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,6.0
2020-02-26 20:03:06,42.0,United States of America,0.0,2020-02-26 20:03:06,,,Unassigned Location (From Diamond Princess),0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,42.0
2020-02-26 07:23:03,40.0,Thailand,0.0,2020-02-26 07:23:03,,,,22.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,18.0
2020-02-26 21:03:07,33.0,Bahrain,0.0,2020-02-26 21:03:07,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,33.0
2020-02-26 12:23:04,32.0,Taiwan,1.0,2020-02-26 12:23:04,,,Taiwan,5.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,27.0
2020-02-26 23:43:03,27.0,Germany,0.0,2020-02-26 23:43:03,,,,15.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,12.0
2020-02-26 19:23:04,26.0,Kuwait,0.0,2020-02-26 19:23:04,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,26.0
2020-02-24 11:53:02,22.0,Malaysia,0.0,2020-02-24 11:53:02,,,,18.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,4.0
2020-02-26 20:03:06,18.0,France,2.0,2020-02-26 20:03:06,,,,11.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,7.0
2020-02-21 04:43:02,18.0,China,0.0,2020-02-21 04:43:02,,,Qinghai,18.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-25 08:53:02,16.0,Vietnam,0.0,2020-02-25 08:53:02,,,,16.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-26 20:43:02,13.0,Spain,0.0,2020-02-26 20:43:02,,,,2.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,11.0
2020-02-24 08:33:02,13.0,UK,0.0,2020-02-24 08:33:02,,,,8.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,5.0
2020-02-22 14:53:02,13.0,United Arab Emirates,0.0,2020-02-22 14:53:02,,,,4.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,9.0
2020-02-25 15:23:04,10.0,Macau,0.0,2020-02-25 15:23:04,,,Macau,7.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,3.0
2020-02-22 17:03:05,7.0,Australia,0.0,2020-02-22 17:03:05,,,From Diamond Princess,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,7.0
2020-02-25 02:23:05,7.0,Canada,0.0,2020-02-25 02:23:05,,,British Columbia,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,7.0
2020-02-21 05:43:02,5.0,Australia,0.0,2020-02-21 05:43:02,,,Queensland,1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,4.0
2020-02-26 04:53:02,5.0,Iraq,0.0,2020-02-26 04:53:02,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,5.0
2020-02-13 17:53:03,4.0,Australia,0.0,2020-02-13 17:53:03,,,New South Wales,4.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-13 17:53:03,4.0,Australia,0.0,2020-02-13 17:53:03,,,Victoria,4.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-26 04:53:02,4.0,Oman,0.0,2020-02-26 04:53:02,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,4.0
2020-02-24 14:43:03,3.0,Canada,0.0,2020-02-24 14:43:03,,,"Toronto, ON",2.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-26 20:03:06,3.0,Croatia,0.0,2020-02-26 20:03:06,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,3.0
2020-02-16 07:43:02,3.0,India,0.0,2020-02-16 07:43:02,,,,3.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-12 07:43:02,3.0,Philippines,1.0,2020-02-12 07:43:02,,,,1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,2.0
2020-02-17 08:13:09,2.0,Australia,0.0,2020-02-17 08:13:09,,,South Australia,2.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
2020-02-26 00:13:06,2.0,Austria,0.0,2020-02-26 00:13:06,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,2.0
2020-02-26 19:03:08,2.0,Finland,0.0,2020-02-26 19:03:08,,,,1.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,1.0
2020-02-26 20:33:02,2.0,Israel,0.0,2020-02-26 20:33:02,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,2.0
2020-02-26 19:33:02,2.0,Lebanon,0.0,2020-02-26 19:33:02,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,2.0
2020-02-26 23:53:02,2.0,Pakistan,0.0,2020-02-26 23:53:02,,,,0.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,2.0
2020-02-12 14:43:03,2.0,Russia,0.0,2020-02-12 14:43:03,,,,2.0,COVID-19/csse_covid_19_data/csse_covid_19_daily_reports/02-26-2020.csv,0.0
